name,ra,dec,$z_l$,$z_s$,$mag_i$,$F_{lya}$,width,skewness,$\rm \sigma_{eBOSS}$,$\theta_E$,grade
5109-55892-723,01:39:34.41,+23:49:31.15,0.75,2.31,20.10,11.33,2.08,1.49,0.00,0.00,C
11388-58487-171,11:20:30.31,+29:47:55.26,0.75,2.62,20.81,5.34,1.01,9.11,82.73,0.11,C
4743-55645-728,09:49:47.28,+02:50:14.35,0.57,2.86,18.87,8.01,3.14,0.85,369.03,2.58,C
10754-58224-475,14:33:10.93,+35:11:13.52,0.65,2.52,20.59,7.88,1.08,1.44,186.14,0.59,C
4784-55677-431,13:55:12.36,+04:04:55.21,0.61,2.10,19.10,22.59,2.45,9.29,304.18,1.55,C
6025-56098-9,17:11:04.83,+45:13:09.35,0.24,2.39,17.59,13.17,3.20,8.02,203.22,0.99,C
8186-57452-45,10:34:15.93,+56:21:26.48,0.90,2.83,20.66,7.10,2.51,9.50,269.16,1.05,C
5715-56657-935,09:51:14.86,+57:46:59.38,0.68,2.70,19.46,6.58,2.42,1.45,104.15,0.19,C
6421-56274-612,11:27:32.89,+23:43:10.26,0.30,2.30,18.55,7.94,1.86,6.72,219.50,1.09,C
4408-55888-389,23:23:08.65,+05:25:41.43,0.54,2.77,19.17,5.41,1.64,4.87,248.70,1.19,C
4630-55623-401,10:49:27.03,+36:01:42.45,0.77,2.95,19.51,10.30,5.08,2.19,694.40,7.90,C
4709-55720-266,13:46:52.22,+39:51:12.23,0.63,2.44,19.81,12.48,2.69,8.11,187.12,0.60,C
11055-58429-325,00:54:47.67,+08:26:52.05,0.74,2.42,20.07,7.82,1.75,2.26,402.93,2.54,C
6041-56102-925,15:39:34.98,+44:36:10.68,0.44,2.43,19.52,13.54,3.61,9.39,322.22,2.12,C
4445-55622-9,08:39:25.95,+31:28:52.55,0.29,2.84,19.88,10.36,2.89,2.89,0.00,0.00,C
7081-56684-7,10:19:05.96,+61:16:22.96,0.59,2.50,19.84,12.34,2.58,7.38,134.19,0.32,C
6456-56339-38,10:33:51.54,+29:15:45.61,0.41,2.62,18.60,13.80,3.07,9.84,255.53,1.38,C
4257-55480-97,02:58:31.15,+01:39:50.46,0.59,2.94,20.09,3.96,2.85,3.71,208.72,0.82,C
5158-55913-139,08:55:26.75,+49:34:41.44,0.56,2.94,19.27,6.29,2.71,1.23,249.84,1.20,C
4634-55626-189,10:43:31.64,+36:33:18.28,0.47,2.77,19.70,10.22,3.01,9.61,323.77,2.13,C
7165-56603-171,01:57:44.38,-08:11:19.06,0.66,2.92,19.25,9.57,4.31,2.46,297.02,1.57,C
3694-55209-723,08:24:29.90,+50:45:36.20,0.68,2.62,19.93,9.78,1.56,3.67,145.57,0.36,C
5297-55913-765,09:03:34.60,+17:47:17.73,0.48,2.88,19.22,7.76,1.58,8.69,645.77,8.50,C
6148-56209-525,23:19:22.99,+12:52:18.44,0.42,2.82,19.34,6.16,2.25,2.00,183.92,0.72,C
5772-56003-509,09:03:52.07,+21:32:26.34,0.63,2.88,19.86,6.63,2.31,8.80,194.52,0.69,C
6503-56564-497,23:11:51.88,+31:37:01.50,0.49,2.77,19.59,9.32,3.21,1.06,145.75,0.43,C
5382-55982-601,11:50:02.44,+08:45:34.85,0.49,2.28,19.05,16.04,3.34,9.78,261.16,1.30,B
6756-56426-528,13:44:17.06,+54:00:07.18,0.46,2.30,19.49,27.87,5.11,9.66,180.19,0.64,C
4781-55653-429,14:22:43.31,+04:06:15.33,0.56,2.73,19.69,6.32,1.95,8.82,144.78,0.40,C
5210-56003-304,15:50:24.04,+07:41:00.22,0.32,2.75,18.42,7.90,2.00,0.28,215.66,1.06,C
7033-56565-371,23:52:20.36,-05:34:37.85,0.59,2.13,19.77,30.12,4.77,1.66,719.67,8.84,C
8518-58193-475,15:01:17.43,+46:17:47.71,0.75,2.52,20.34,7.47,1.25,9.89,262.36,1.08,C
3879-55244-404,15:19:35.08,+28:47:56.25,0.69,2.47,19.47,1.23,1.44,2.93,296.65,1.45,C
5067-55751-405,22:01:43.41,+06:52:00.82,0.63,2.37,19.97,10.67,3.61,7.07,205.58,0.72,C
